date,cpu_util_percent
1970/1/1 10:26,19
1970/1/1 10:28,26
1970/1/1 10:29,39
1970/1/1 10:30,33
1970/1/1 10:31,33
1970/1/1 10:33,31
1970/1/1 10:36,35
1970/1/1 10:37,18
1970/1/1 10:42,19
1970/1/1 10:42,24
1970/1/1 11:45,21
1970/1/1 11:48,28
1970/1/1 11:50,25
1970/1/1 11:51,26
1970/1/1 11:54,20
1970/1/1 11:57,36
1970/1/1 11:57,37
1970/1/1 11:57,28
1970/1/1 11:58,58
1970/1/1 11:58,61
1970/1/1 11:59,34
1970/1/1 12:05,29
1970/1/1 12:05,26
1970/1/1 12:05,28
1970/1/1 12:08,15
1970/1/1 12:10,19
1970/1/1 12:14,30
1970/1/1 12:16,16
1970/1/1 13:00,26
1970/1/1 13:00,63
1970/1/1 14:22,81
1970/1/1 14:23,69
1970/1/1 14:26,70
1970/1/1 14:27,57
1970/1/1 14:29,62
1970/1/1 14:32,46
1970/1/1 14:37,59
1970/1/1 14:38,54
1970/1/1 14:40,49
1970/1/1 14:43,58
1970/1/1 14:45,46
1970/1/1 14:45,48
1970/1/1 14:46,69
1970/1/1 14:47,48
1970/1/1 14:49,57
1970/1/1 14:50,72
1970/1/1 14:50,56
1970/1/1 14:51,62
1970/1/1 14:53,51
1970/1/1 14:55,45
1970/1/1 15:01,45
1970/1/1 15:01,46
1970/1/1 15:02,54
1970/1/1 16:20,65
1970/1/1 16:23,75
1970/1/1 16:28,44
1970/1/1 16:30,54
1970/1/1 16:30,43
1970/1/1 16:31,38
1970/1/1 16:36,31
1970/1/1 16:37,40
1970/1/1 16:40,40
1970/1/1 16:41,40
1970/1/1 16:41,32
1970/1/1 16:41,56
1970/1/1 17:20,32
1970/1/1 17:21,51
1970/1/1 17:21,33
1970/1/1 17:21,33
1970/1/1 17:22,34
1970/1/1 17:23,35
1970/1/1 17:26,46
1970/1/1 17:26,32
1970/1/1 17:29,36
1970/1/1 17:31,82
1970/1/1 17:33,27
1970/1/1 17:37,31
1970/1/1 17:39,28
1970/1/1 17:39,76
1970/1/1 17:41,36
1970/1/1 17:42,78
1970/1/1 17:43,30
1970/1/1 17:46,48
1970/1/1 17:47,51
1970/1/1 17:47,59
1970/1/1 17:48,48
1970/1/1 17:49,45
1970/1/1 17:52,32
1970/1/1 17:53,31
1970/1/1 17:54,32
1970/1/1 17:57,27
1970/1/1 17:58,42
1970/1/1 18:02,39
1970/1/1 18:02,57
1970/1/1 18:03,36
1970/1/1 18:04,37
1970/1/1 18:05,32
1970/1/1 18:08,46
1970/1/1 18:10,37
1970/1/1 18:10,36
1970/1/1 18:11,56
1970/1/1 18:13,32
1970/1/1 18:15,43
1970/1/1 18:16,34
1970/1/1 18:17,34
1970/1/1 18:18,30
1970/1/1 18:20,35
1970/1/1 18:20,49
1970/1/1 18:21,36
1970/1/1 18:22,33
1970/1/1 18:25,49
1970/1/1 18:26,26
1970/1/1 18:32,25
1970/1/1 18:35,29
1970/1/1 18:35,32
1970/1/1 18:38,26
1970/1/1 18:38,75
1970/1/1 18:39,27
