date,cpu_util_percent
1970/1/1 0:00,19
1970/1/1 0:05,26
1970/1/1 0:10,39
1970/1/1 0:15,33
1970/1/1 0:20,33
1970/1/1 0:25,31
1970/1/1 0:30,35
1970/1/1 0:35,18
1970/1/1 0:40,19
1970/1/1 0:45,24
1970/1/1 0:50,21
1970/1/1 0:55,28
1970/1/1 1:00,25
1970/1/1 1:05,26
1970/1/1 1:10,20
1970/1/1 1:15,36
1970/1/1 1:20,37
1970/1/1 1:25,28
1970/1/1 1:30,58
1970/1/1 1:35,61
1970/1/1 1:40,34
1970/1/1 1:45,29
1970/1/1 1:50,26
1970/1/1 1:55,28
1970/1/1 2:00,15
1970/1/1 2:05,19
1970/1/1 2:10,30
1970/1/1 2:15,16
1970/1/1 2:20,26
1970/1/1 2:25,63
1970/1/1 2:30,81
1970/1/1 2:35,69
1970/1/1 2:40,70
1970/1/1 2:45,57
1970/1/1 2:50,62
1970/1/1 2:55,46
1970/1/1 3:00,59
1970/1/1 3:05,54
1970/1/1 3:10,49
1970/1/1 3:15,58
1970/1/1 3:20,46
1970/1/1 3:25,48
1970/1/1 3:30,69
1970/1/1 3:35,48
1970/1/1 3:40,57
1970/1/1 3:45,72
1970/1/1 3:50,56
1970/1/1 3:55,62
1970/1/1 4:00,51
1970/1/1 4:05,45
1970/1/1 4:10,45
1970/1/1 4:15,46
1970/1/1 4:20,54
1970/1/1 4:25,65
1970/1/1 4:30,75
1970/1/1 4:35,44
1970/1/1 4:40,54
1970/1/1 4:45,43
1970/1/1 4:50,38
1970/1/1 4:55,31
1970/1/1 5:00,40
1970/1/1 5:05,40
1970/1/1 5:10,40
1970/1/1 5:15,32
1970/1/1 5:20,56
1970/1/1 5:25,32
1970/1/1 5:30,51
1970/1/1 5:35,33
1970/1/1 5:40,33
1970/1/1 5:45,34
1970/1/1 5:50,35
1970/1/1 5:55,46
1970/1/1 6:00,32
1970/1/1 6:05,36
1970/1/1 6:10,82
1970/1/1 6:15,27
1970/1/1 6:20,31
1970/1/1 6:25,28
1970/1/1 6:30,76
1970/1/1 6:35,36
1970/1/1 6:40,78
1970/1/1 6:45,30
1970/1/1 6:50,48
1970/1/1 6:55,51
1970/1/1 7:00,59
1970/1/1 7:05,48
1970/1/1 7:10,45
1970/1/1 7:15,32
1970/1/1 7:20,31
1970/1/1 7:25,32
1970/1/1 7:30,27
1970/1/1 7:35,42
1970/1/1 7:40,39
1970/1/1 7:45,57
1970/1/1 7:50,36
1970/1/1 7:55,37
1970/1/1 8:00,32
1970/1/1 8:05,46
1970/1/1 8:10,37
1970/1/1 8:15,36
1970/1/1 8:20,56
1970/1/1 8:25,32
1970/1/1 8:30,43
1970/1/1 8:35,34
1970/1/1 8:40,34
1970/1/1 8:45,30
1970/1/1 8:50,35
1970/1/1 8:55,49
1970/1/1 9:00,36
1970/1/1 9:05,33
1970/1/1 9:10,49
1970/1/1 9:15,26
1970/1/1 9:20,25
1970/1/1 9:25,29
1970/1/1 9:30,32
1970/1/1 9:35,26
1970/1/1 9:40,75
1970/1/1 9:45,27
1970/1/1 9:50,26
1970/1/1 9:55,24
1970/1/1 10:00,26
1970/1/1 10:05,34
1970/1/1 10:10,24
1970/1/1 10:15,28
1970/1/1 10:20,27
1970/1/1 10:25,28
1970/1/1 10:30,29
1970/1/1 10:35,31
1970/1/1 10:40,39
1970/1/1 10:45,28
1970/1/1 10:50,28
1970/1/1 10:55,25
1970/1/1 11:00,26
1970/1/1 11:05,23
1970/1/1 11:10,24
1970/1/1 11:15,56
1970/1/1 11:20,21
1970/1/1 11:25,21
1970/1/1 11:30,42
1970/1/1 11:35,25
1970/1/1 11:40,33
1970/1/1 11:45,34
1970/1/1 11:50,79
1970/1/1 11:55,34
1970/1/1 12:00,45
1970/1/1 12:05,28
1970/1/1 12:10,30
1970/1/1 12:15,30
1970/1/1 12:20,27
1970/1/1 12:25,25
1970/1/1 12:30,29
1970/1/1 12:35,26
1970/1/1 12:40,32
1970/1/1 12:45,33
1970/1/1 12:50,31
1970/1/1 12:55,33
1970/1/1 13:00,33
1970/1/1 13:05,35
1970/1/1 13:10,40
1970/1/1 13:15,26
1970/1/1 13:20,28
1970/1/1 13:25,26
1970/1/1 13:30,28
1970/1/1 13:35,28
1970/1/1 13:40,25
1970/1/1 13:45,21
1970/1/1 13:50,21
1970/1/1 13:55,24
1970/1/1 14:00,27
1970/1/1 14:05,31
1970/1/1 14:10,33
1970/1/1 14:15,52
1970/1/1 14:20,33
1970/1/1 14:25,30
1970/1/1 14:30,57
1970/1/1 14:35,50
1970/1/1 14:40,49
1970/1/1 14:45,28
1970/1/1 14:50,28
1970/1/1 14:55,43
1970/1/1 15:00,37
1970/1/1 15:05,37
1970/1/1 15:10,35
1970/1/1 15:15,28
1970/1/1 15:20,30
1970/1/1 15:25,31
1970/1/1 15:30,30
1970/1/1 15:35,30
1970/1/1 15:40,24
1970/1/1 15:45,27
1970/1/1 15:50,22
1970/1/1 15:55,22
