machine_id,TIME,cpu_util_percent,mem_util_percent
m_2020,1970/1/1 10:26,19,87
m_2020,1970/1/1 10:28,26,86
m_2020,1970/1/1 10:29,39,85
m_2020,1970/1/1 10:30,33,87
m_2020,1970/1/1 10:31,33,87
m_2020,1970/1/1 10:33,31,87
m_2020,1970/1/1 10:36,35,84
m_2020,1970/1/1 10:37,18,84
m_2020,1970/1/1 10:42,19,84
m_2020,1970/1/1 10:42,24,84
m_2020,1970/1/1 11:45,21,88
m_2020,1970/1/1 11:48,28,88
m_2020,1970/1/1 11:50,25,89
m_2020,1970/1/1 11:51,26,90
m_2020,1970/1/1 11:54,20,88
m_2020,1970/1/1 11:57,36,90
m_2020,1970/1/1 11:57,37,90
m_2020,1970/1/1 11:57,28,88
m_2020,1970/1/1 11:58,58,88
m_2020,1970/1/1 11:58,61,88
m_2020,1970/1/1 11:59,34,91
m_2020,1970/1/1 12:05,29,87
m_2020,1970/1/1 12:05,26,87
m_2020,1970/1/1 12:05,28,88
m_2020,1970/1/1 12:08,15,86
m_2020,1970/1/1 12:10,19,86
m_2020,1970/1/1 12:14,30,88
m_2020,1970/1/1 12:16,16,86
m_2020,1970/1/1 13:00,26,90
m_2020,1970/1/1 13:00,63,91
m_2020,1970/1/1 14:22,81,94
m_2020,1970/1/1 14:23,69,93
m_2020,1970/1/1 14:26,70,94
m_2020,1970/1/1 14:27,57,92
m_2020,1970/1/1 14:29,62,93
m_2020,1970/1/1 14:32,46,90
m_2020,1970/1/1 14:37,59,95
m_2020,1970/1/1 14:38,54,94
m_2020,1970/1/1 14:40,49,92
m_2020,1970/1/1 14:43,58,92
m_2020,1970/1/1 14:45,46,90
m_2020,1970/1/1 14:45,48,91
m_2020,1970/1/1 14:46,69,92
m_2020,1970/1/1 14:47,48,92
m_2020,1970/1/1 14:49,57,91
m_2020,1970/1/1 14:50,72,94
m_2020,1970/1/1 14:50,56,92
m_2020,1970/1/1 14:51,62,90
m_2020,1970/1/1 14:53,51,93
m_2020,1970/1/1 14:55,45,93
m_2020,1970/1/1 15:01,45,88
m_2020,1970/1/1 15:01,46,88
m_2020,1970/1/1 15:02,54,91
m_2020,1970/1/1 16:20,65,86
m_2020,1970/1/1 16:23,75,87
m_2020,1970/1/1 16:28,44,88
m_2020,1970/1/1 16:30,54,89
m_2020,1970/1/1 16:30,43,89
m_2020,1970/1/1 16:31,38,87
m_2020,1970/1/1 16:36,31,84
m_2020,1970/1/1 16:37,40,86
m_2020,1970/1/1 16:40,40,86
m_2020,1970/1/1 16:41,40,85
m_2020,1970/1/1 16:41,32,84
m_2020,1970/1/1 16:41,56,84
m_2020,1970/1/1 17:20,32,82
m_2020,1970/1/1 17:21,51,83
m_2020,1970/1/1 17:21,33,83
m_2020,1970/1/1 17:21,33,84
m_2020,1970/1/1 17:22,34,83
m_2020,1970/1/1 17:23,35,83
m_2020,1970/1/1 17:26,46,82
m_2020,1970/1/1 17:26,32,83
m_2020,1970/1/1 17:29,36,84
m_2020,1970/1/1 17:31,82,82
m_2020,1970/1/1 17:33,27,81
m_2020,1970/1/1 17:37,31,84
m_2020,1970/1/1 17:39,28,83
m_2020,1970/1/1 17:39,76,84
m_2020,1970/1/1 17:41,36,85
m_2020,1970/1/1 17:42,78,84
m_2020,1970/1/1 17:43,30,84
m_2020,1970/1/1 17:46,48,86
m_2020,1970/1/1 17:47,51,88
m_2020,1970/1/1 17:47,59,89
m_2020,1970/1/1 17:48,48,89
m_2020,1970/1/1 17:49,45,88
m_2020,1970/1/1 17:52,32,88
m_2020,1970/1/1 17:53,31,89
m_2020,1970/1/1 17:54,32,88
m_2020,1970/1/1 17:57,27,85
m_2020,1970/1/1 17:58,42,83
m_2020,1970/1/1 18:02,39,89
m_2020,1970/1/1 18:02,57,88
m_2020,1970/1/1 18:03,36,88
m_2020,1970/1/1 18:04,37,88
m_2020,1970/1/1 18:05,32,87
m_2020,1970/1/1 18:08,46,87
m_2020,1970/1/1 18:10,37,88
m_2020,1970/1/1 18:10,36,86
m_2020,1970/1/1 18:11,56,86
m_2020,1970/1/1 18:13,32,86
m_2020,1970/1/1 18:15,43,88
m_2020,1970/1/1 18:16,34,87
m_2020,1970/1/1 18:17,34,87
m_2020,1970/1/1 18:18,30,86
m_2020,1970/1/1 18:20,35,88
m_2020,1970/1/1 18:20,49,88
m_2020,1970/1/1 18:21,36,87
m_2020,1970/1/1 18:22,33,87
m_2020,1970/1/1 18:25,49,85
m_2020,1970/1/1 18:26,26,84
m_2020,1970/1/1 18:32,25,85
m_2020,1970/1/1 18:35,29,86
m_2020,1970/1/1 18:35,32,85
m_2020,1970/1/1 18:38,26,84
m_2020,1970/1/1 18:38,75,85
m_2020,1970/1/1 18:39,27,84
m_2020,1970/1/1 18:39,26,84
m_2020,1970/1/1 18:39,24,84
m_2020,1970/1/1 18:40,26,83
m_2020,1970/1/1 18:40,34,84
m_2020,1970/1/1 18:41,24,83
m_2020,1970/1/1 18:44,28,84
m_2020,1970/1/1 18:44,27,84
m_2020,1970/1/1 18:46,28,84
m_2020,1970/1/1 18:47,29,84
m_2020,1970/1/1 18:49,31,85
m_2020,1970/1/1 18:51,39,85
m_2020,1970/1/1 18:52,28,85
m_2020,1970/1/1 18:52,28,84
m_2020,1970/1/1 18:53,25,84
m_2020,1970/1/1 18:54,26,85
m_2020,1970/1/1 18:56,23,84
m_2020,1970/1/1 18:57,24,84
m_2020,1970/1/1 18:57,56,84
m_2020,1970/1/1 18:58,21,84
m_2020,1970/1/1 18:59,21,84
m_2020,1970/1/1 19:00,42,86
m_2020,1970/1/1 19:01,25,86
m_2020,1970/1/1 19:03,33,87
m_2020,1970/1/1 19:05,34,87
